#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,SO%
412,Caleb Ferguson,CIN,2,2,4.64,32,1,,,,29,126,28,16,15,3,11,,3,28,0.222
413,Juan Mejia,COL,2,3,4.46,37,0,,,,42,184,38,23,21,5,21,,5,45,0.245
414,Taylor Rashi,ARI,2,2,3.99,23,1,,,,36,156,34,17,16,4,15,,1,36,0.231
415,Cameron Weston,BAL,3,4,4.94,13,10,,,,57,249,57,34,31,8,23,,5,48,0.193
416,Griffin Canning,SDP,3,5,4.93,12,12,,,,62,271,61,37,34,11,26,,2,58,0.214
417,Yuki Matsui,SDP,1,1,3.98,31,0,,,,34,145,29,16,15,4,16,,1,35,0.241
418,Sam Aldegheri,LAA,3,6,5.48,13,12,,,,63,281,67,41,38,10,29,,4,48,0.171
419,Taylor Rogers,MIN,2,2,4.16,35,0,,,,31,134,29,15,14,3,13,,2,30,0.224
420,Ryan Fernandez,STL,2,2,4.07,30,0,,,,34,147,30,17,15,4,15,,1,39,0.265
421,Albert Suárez,BAL,2,4,5.28,14,8,,,,51,228,58,32,30,9,20,,1,39,0.171
422,Jackson Rutledge,PHI,2,3,4.96,21,6,,,,46,201,47,27,25,6,19,,4,38,0.189
423,Cole Sulser,TBR,1,2,4.29,28,1,,,,32,137,31,16,15,4,11,,1,27,0.197
424,Brent Suter,LAA,1,1,4.32,29,2,,,,40,173,41,21,19,5,13,,1,32,0.185
425,Alex Lange,KCR,2,2,4.01,30,1,,,,29,127,24,14,13,2,16,,2,31,0.244
426,Brock Stewart,LAD,1,0,4.01,19,0,,,,17,75,15,8,8,2,7,,1,20,0.267
427,Ian Hamilton,ATL,1,1,3.74,23,0,,,,26,114,24,12,11,2,12,,1,28,0.246
428,Brock Burke,CIN,2,3,4.52,41,1,,,,40,175,40,22,20,5,16,,1,38,0.217
429,Jake Eder,LAD,3,3,4.92,12,8,,,,43,188,43,26,24,7,18,,3,33,0.176
430,Osvaldo Bido,,1,4,6.1,17,7,,,,50,230,57,37,34,8,23,,6,44,0.191
431,Vince Velasquez,CHC,2,2,4.53,8,6,,,,32,141,31,18,16,5,14,,1,32,0.227
432,Miles Mikolas,WSN,3,7,5.41,17,15,,,,81,357,94,53,49,15,21,,2,54,0.151
433,Sam Bachman,LAA,2,2,4.4,25,2,,,,33,147,31,18,16,3,17,,2,32,0.218
434,Pierce Johnson,CIN,2,2,4.62,37,0,,,,32,141,32,18,17,5,13,,1,34,0.241
435,Richard Lovelady,WSN,1,2,4.73,30,2,,,,31,137,32,18,16,3,13,,3,29,0.212
436,Tyler Schweitzer,CHW,2,4,5.02,14,7,,,,50,222,55,30,28,8,19,,1,35,0.158
437,Justin Slaten,BOS,2,2,4.16,23,1,,,,25,108,23,13,12,3,10,,1,26,0.241
438,Jose Franco,CIN,2,4,5.67,17,11,,,,50,227,52,34,32,8,26,,3,45,0.198
439,Keegan Thompson,COL,1,3,5.03,16,2,,,,33,145,33,20,18,5,14,,2,30,0.207
440,Austin Warren,NYM,3,3,4.33,23,2,,,,33,141,30,17,16,4,13,,2,32,0.227
441,Germán Márquez,SDP,3,7,5.48,14,14,,,,71,312,76,47,43,13,26,,2,54,0.173
442,Blake Treinen,LAD,2,2,4.23,27,1,,,,22,97,21,11,11,3,9,,1,24,0.247
443,Emilio Pagán,CIN,2,2,4.44,35,0,,,,34,142,30,18,17,6,11,,1,34,0.239
444,Carlos Carrasco,ATL,2,4,5.45,13,11,,,,57,255,69,37,34,10,18,,3,43,0.169
445,Ryne Stanek,STL,2,2,4.22,38,0,,,,34,148,29,17,16,3,19,,1,36,0.243
446,Kirby Yates,LAA,2,2,3.97,27,0,,,,24,104,19,12,11,3,12,,2,30,0.288
447,Jason Alexander,HOU,2,3,4.88,14,11,,,,60,265,65,35,33,10,22,,3,45,0.17
448,Andrew Nardi,MIA,2,2,4.02,30,0,,,,29,124,25,14,13,4,13,,1,36,0.29
449,Anthony Nunez,BAL,3,3,4.14,35,0,,,,36,151,31,18,16,4,14,,2,40,0.265
450,Codi Heuer,CLE,1,1,3.7,22,0,,,,25,107,24,11,10,3,10,,2,25,0.234
451,Jordan Romano,COL,2,2,4.45,26,0,,,,24,101,22,13,12,3,9,,2,27,0.267
452,Andrew Kittredge,BAL,2,2,3.73,30,0,,,,29,122,28,13,12,4,7,,0,29,0.238
453,Jameson Taillon,CHC,4,6,5.1,16,16,,,,86,369,90,53,49,18,24,,2,69,0.187
454,Bennett Sousa,HOU,1,1,3.9,22,0,,,,24,100,20,11,10,3,10,,0,26,0.26
455,Sam Moll,CIN,2,2,4.63,35,0,,,,30,130,26,17,15,3,15,,3,31,0.238
456,Juan Morillo,ARI,2,2,3.77,37,0,,,,33,144,30,15,14,3,17,,2,34,0.236
457,Caleb Kilian,SFG,2,3,4.82,18,7,,,,44,196,47,26,24,6,17,,2,38,0.194
458,Gregory Santos,SFG,1,1,3.82,21,0,,,,23,102,23,11,10,1,11,,2,19,0.186
459,Nick Mears,KCR,2,3,4.53,35,0,,,,32,141,31,18,16,3,15,,1,29,0.206
460,Shaun Anderson,LAA,2,4,5.46,16,9,,,,57,253,66,38,35,10,18,,2,40,0.158
461,Tyler Samaniego,BOS,2,2,4.03,23,1,,,,26,111,25,13,12,2,10,,2,22,0.198
462,Luke Little,CHC,1,1,4.18,23,1,,,,28,123,22,14,13,3,16,,3,32,0.26
463,Jacob Webb,CHC,2,2,4.04,35,0,,,,38,160,32,19,17,5,14,,1,38,0.238
464,Cole Winn,TEX,2,3,4.69,27,3,,,,45,196,41,25,23,5,22,,2,40,0.204
465,Seranthony Domínguez,CHW,3,4,4.34,40,0,,,,36,156,31,19,17,5,18,,2,42,0.269
466,Hoby Milner,CHC,1,1,4.16,39,0,,,,36,153,36,18,17,4,10,,2,28,0.183
467,Calvin Faucher,MIA,3,3,3.98,37,0,,,,35,155,32,17,15,3,19,,1,35,0.226
468,Lyon Richardson,CIN,1,2,5.18,22,4,,,,38,168,38,24,22,5,18,,2,33,0.196
469,Ty Blach,CHC,1,2,5.06,11,7,,,,39,167,44,24,22,6,9,,2,24,0.144
470,Eric Lauer,LAD,3,6,5.56,17,12,,,,68,300,75,45,42,14,24,,2,59,0.197
471,Jose Espada,BAL,2,2,4.65,19,1,,,,27,117,25,15,14,3,13,,0,26,0.222
472,Kody Funderburk,MIN,2,2,4.27,31,1,,,,38,167,37,19,18,3,19,,3,34,0.204
473,Cole Wilcox,SEA,2,3,4.55,19,6,,,,47,208,47,26,24,5,21,,3,39,0.188
474,Zak Kent,WSN,1,2,4.86,19,3,,,,30,134,30,18,16,4,14,,1,28,0.209
475,Michael Petersen,MIA,1,1,4.06,29,0,,,,31,135,30,15,14,4,13,,1,30,0.222
476,José Fermin,LAA,2,3,4.5,32,0,,,,33,144,29,18,17,4,17,,2,35,0.243
477,Victor Mederos,ATL,3,4,5.12,11,10,,,,52,230,54,32,29,7,22,,6,38,0.165
478,Yerry De los Santos,NYY,1,1,4.22,23,0,,,,29,123,27,15,13,3,11,,1,23,0.187
479,Tim Mayza,PHI,1,1,4.15,30,1,,,,28,120,29,14,13,4,9,,1,26,0.217
480,Paul Sewald,ARI,2,2,4.09,29,1,,,,26,108,23,13,12,4,8,,1,27,0.25
481,Ron Marinaccio,SDP,2,2,4.38,31,0,,,,40,170,35,21,20,5,16,,3,38,0.224
482,Matt Gage,SFG,2,2,4.16,35,1,,,,34,147,34,17,16,4,13,,1,28,0.19
483,Carter Baumler,TEX,1,1,4.91,17,1,,,,22,95,20,13,12,2,11,,1,20,0.211
484,Trevor Richards,CHW,0,1,5.37,25,1,,,,31,138,32,20,19,5,13,,1,31,0.225
485,Taylor Clarke,ARI,1,1,4.09,33,2,,,,36,152,37,18,16,4,9,,2,25,0.164
486,Joey Lucchesi,LAA,1,2,4.84,19,4,,,,39,173,42,23,21,5,17,,1,30,0.173
487,Riley Martin,CHC,2,2,4.38,23,1,,,,31,136,27,16,15,4,17,,1,33,0.243
488,Kyle Backhus,PHI,2,2,4.43,29,0,,,,29,123,27,15,14,4,10,,2,29,0.236
489,Erick Fedde,CHW,3,7,5.64,17,14,,,,81,365,91,55,51,15,33,,2,59,0.162
490,Welinton Herrera,COL,2,3,4.43,26,0,,,,31,137,31,17,15,4,13,,2,31,0.226
491,Anthony Banda,MIN,1,2,4.41,38,1,,,,36,159,35,19,18,4,17,,4,34,0.214
492,John Schreiber,KCR,2,2,4.43,40,0,,,,36,154,34,19,18,4,14,,2,31,0.201
493,Connor Phillips,CIN,2,4,5.29,28,6,,,,49,224,45,32,29,7,32,,4,53,0.237
494,Paul Gervase,LAD,2,2,4.66,23,1,,,,31,133,27,17,16,5,15,,2,33,0.248
495,PJ Poulin,WSN,2,3,4.66,35,4,,,,37,166,37,21,19,5,18,,2,36,0.217
496,Franco Aleman,CLE,1,2,4.47,17,0,,,,21,91,20,11,10,3,9,,1,22,0.242
497,Jordan Leasure,CHW,2,4,4.97,36,1,,,,34,149,31,21,19,6,15,,1,39,0.262
498,Tyler Gilbert,CHW,1,2,5.34,20,3,,,,29,130,31,19,17,5,12,,1,26,0.2
499,Riley Cornelio,WSN,2,4,5.24,12,11,,,,53,240,58,34,31,8,25,,1,40,0.167
500,Elvis Alvarado,ATH,2,2,4.19,31,0,,,,35,152,31,18,16,4,17,,2,36,0.237
501,Drew Sommers,DET,1,2,4.35,24,0,,,,29,126,29,15,14,3,11,,2,25,0.198
502,Garrett Acton,MIN,2,2,4.52,23,1,,,,28,124,27,15,14,4,13,,1,29,0.234
503,Tanner Andrews,TOR,1,2,4.53,13,0,,,,20,88,20,11,10,2,9,,0,17,0.193
504,Luis García,,1,1,4.9,31,0,,,,29,131,33,17,16,3,12,,2,22,0.168
505,Nolan Hoffman,PHI,1,2,5.06,22,1,,,,30,132,30,18,17,4,13,,3,28,0.212
506,Peyton Pallette,CHW,2,2,4.4,26,3,,,,38,168,35,20,19,5,19,,4,41,0.244
507,Kyle Nicolas,CIN,1,3,5.24,29,3,,,,40,181,38,25,23,5,24,,3,41,0.227
508,Joel Payamps,ATL,2,2,4.07,31,0,,,,29,122,27,14,13,4,9,,1,27,0.221
509,Ethan Roberts,CHC,1,1,4.08,24,0,,,,27,118,25,13,12,3,11,,3,27,0.229
510,Yariel Rodríguez,TOR,1,2,4.61,28,3,,,,39,168,34,21,20,6,19,,2,38,0.226
511,Matt Svanson,STL,2,2,4.18,34,1,,,,47,203,44,24,22,6,18,,3,44,0.217
512,Beau Brieske,DET,1,2,5.13,19,4,,,,29,129,29,18,17,5,13,,0,25,0.194
513,Chase Shugart,PHI,2,3,4.69,27,2,,,,37,160,37,21,19,6,14,,3,31,0.194
514,Brandyn Garcia,ARI,3,3,4.41,25,4,,,,39,169,37,21,19,4,17,,6,34,0.201
515,Ken Waldichuk,WSN,1,3,5.38,12,8,,,,41,184,41,27,25,6,21,,3,39,0.212
516,José Buttó,SFG,2,2,4.03,30,1,,,,35,152,32,17,16,4,15,,2,32,0.211
517,John King,MIA,2,2,4.06,35,0,,,,34,148,37,17,15,4,11,,2,25,0.169
518,Lou Trivino,PHI,1,1,4.81,23,1,,,,23,102,24,13,12,3,11,,1,21,0.206
519,Greg Weissert,BOS,2,3,4.39,41,0,,,,39,168,38,21,19,5,14,,2,36,0.214
520,Victor Vodnik,COL,2,3,4.49,33,0,,,,35,159,35,19,18,4,19,,1,32,0.201
521,Michael Kelly,ATH,1,2,4.51,22,0,,,,23,101,22,12,11,2,11,,1,20,0.198
522,Zack Kelly,BOS,2,2,4.43,30,1,,,,34,151,32,18,17,4,17,,2,32,0.212
523,Ryan Thompson,ARI,2,2,3.79,34,0,,,,30,127,30,14,13,3,9,,1,23,0.181
524,Orlando Ribalta,WSN,1,1,4.5,23,0,,,,23,104,23,13,12,2,12,,1,21,0.202
525,Joe Ross,TEX,1,1,4.48,17,3,,,,30,133,32,16,15,3,13,,2,22,0.165
526,Jalen Beeks,TEX,2,3,4.68,36,2,,,,39,168,38,22,20,5,15,,2,34,0.202
527,Brooks Kriske,ATH,1,1,4.72,19,0,,,,23,101,21,13,12,4,11,,1,25,0.248
528,Brian Fitzpatrick,MIL,2,2,4.71,17,1,,,,29,127,28,16,15,4,13,,1,26,0.205
529,Justin Lawrence,PIT,2,2,4.39,31,0,,,,33,143,29,17,16,3,17,,4,35,0.245
530,Carlos Estévez,KCR,2,2,4.41,30,0,,,,29,123,26,15,14,4,11,,1,24,0.195
531,Nick Raquet,BAL,2,4,4.91,18,1,,,,29,127,31,17,16,4,10,,2,24,0.189
532,Hunter Bigge,TBR,1,1,4.41,24,0,,,,26,115,24,14,13,3,15,,1,25,0.217
533,Seth Halvorsen,COL,1,2,4.73,25,0,,,,25,112,24,14,13,3,13,,1,24,0.214
534,Matt Pushard,STL,2,2,4.13,25,1,,,,31,132,29,15,14,4,12,,1,27,0.205
535,Hunter Stratton,ATL,1,1,4.35,22,0,,,,26,113,25,14,13,3,9,,2,25,0.221
536,Chris Devenski,PIT,1,1,4.45,20,1,,,,23,98,24,12,11,3,6,,0,18,0.184
537,Jonathan Hernández,LAD,1,1,4.64,21,1,,,,25,112,24,14,13,3,12,,1,23,0.205
538,Christian Roa,CHC,3,3,4.55,20,3,,,,36,162,33,20,18,5,20,,4,35,0.216
539,Jonathan Heasley,TBR,1,2,5.44,12,6,,,,40,174,44,26,24,7,13,,2,28,0.161
540,Valente Bellozo,COL,1,3,5.63,15,7,,,,51,227,59,35,32,10,18,,2,35,0.154
541,Matt Festa,CLE,2,3,4.53,35,0,,,,35,151,33,19,18,5,13,,3,37,0.245
542,Philip Abner,ARI,1,1,4.09,27,0,,,,28,121,27,14,13,4,11,,2,26,0.215
543,Yaramil Hiraldo,BAL,0,1,4.68,22,0,,,,29,126,28,17,15,5,11,,0,30,0.238
544,Cade Gibson,MIA,2,3,4.45,21,3,,,,40,173,40,21,20,5,16,,5,32,0.185
545,David Morgan,SDP,2,2,4.3,29,1,,,,35,151,31,18,17,4,16,,3,36,0.238
546,Grant Anderson,MIL,2,2,4.28,38,0,,,,41,176,38,21,19,6,16,,2,41,0.233
547,Brendon Little,TOR,2,2,4.22,35,0,,,,33,144,28,17,15,4,18,,1,37,0.257
548,Phil Maton,CHC,2,2,4.04,37,0,,,,35,148,29,17,16,4,15,,5,37,0.25
549,Seth Johnson,PHI,2,3,5.02,21,5,,,,37,165,37,22,20,6,19,,1,33,0.2
550,Drew Pomeranz,LAA,1,2,4.9,34,2,,,,30,132,30,18,16,5,12,,3,30,0.227
551,Trevor Martin,TBR,2,3,5.14,17,6,,,,43,187,46,27,24,8,15,,2,35,0.187
552,Ricky Vanasco,DET,1,2,5,14,3,,,,24,110,24,15,14,4,14,,1,23,0.209
553,Tim Hill,NYY,2,2,4.4,38,0,,,,34,146,37,18,17,4,9,,2,19,0.13
554,Kervin Castro,NYY,1,2,4.61,18,0,,,,22,97,20,12,11,3,11,,1,20,0.206
555,Nate Pearson,HOU,1,1,4.53,24,0,,,,28,121,26,15,14,4,13,,1,28,0.231
556,Lake Bachar,MIA,2,2,4.32,30,0,,,,41,179,38,22,20,6,17,,2,45,0.251
557,Aaron Brooks,TBR,2,3,5.59,10,6,,,,41,184,49,27,25,7,15,,2,24,0.13
558,Wandy Peralta,SDP,2,2,4.14,39,1,,,,39,170,36,20,18,4,18,,3,32,0.188
559,Alex Hoppe,SEA,1,1,4.31,23,0,,,,33,148,32,17,16,4,16,,1,32,0.216
560,Tyler Davis,CHW,2,3,4.77,24,0,,,,29,128,28,17,15,3,15,,1,27,0.211
561,Ryan Borucki,SFG,1,2,4.35,30,1,,,,28,121,27,15,14,3,11,,3,25,0.207
562,Kenley Jansen,DET,2,3,4.59,32,0,,,,29,122,26,16,15,5,12,,0,30,0.246
563,Blas Castaño,COL,1,5,6.45,15,10,,,,53,249,70,41,38,8,21,,7,36,0.145
564,Yohan Ramírez,PIT,2,3,4.34,32,0,,,,40,173,36,21,19,4,18,,8,43,0.249
565,Tyler Ferguson,CHC,1,2,4.88,29,0,,,,31,138,29,19,17,4,16,,3,31,0.225
566,Alimber Santa,HOU,1,1,4.15,22,0,,,,32,139,29,16,15,3,16,,1,30,0.216
567,Justin Topa,,1,2,4.87,31,0,,,,31,136,34,18,17,3,11,,2,24,0.176
568,Tejay Antone,CIN,0,1,5.59,10,1,,,,13,60,14,9,8,2,6,,1,11,0.183
569,Tayler Saucedo,LAA,1,1,4.77,19,0,,,,17,76,17,10,9,2,8,,2,16,0.211
570,Chase Lee,TOR,1,2,4.4,25,0,,,,31,130,29,16,15,5,10,,2,30,0.231
571,Taijuan Walker,LAA,3,5,5.55,16,12,,,,66,294,73,44,41,12,25,,3,46,0.156
572,Kyle Finnegan,DET,2,2,4.44,36,0,,,,35,156,35,19,17,4,16,,0,29,0.186
573,Jayden Murray,HOU,1,1,4.61,24,2,,,,37,162,36,21,19,4,16,,3,30,0.185
574,George Soriano,STL,2,2,4.68,33,1,,,,44,190,42,25,23,6,18,,3,41,0.216
575,Craig Kimbrel,TBR,2,3,4.57,32,0,,,,29,129,26,16,15,4,15,,2,33,0.256
576,Josh Walker,BAL,1,1,4.66,19,0,,,,22,98,22,12,11,3,10,,1,21,0.214
577,Alec Gamboa,BOS,2,2,5.01,11,3,,,,27,123,29,16,15,3,14,,1,18,0.146
578,Zach Pop,PHI,1,1,4.93,23,0,,,,23,101,24,14,13,3,8,,1,18,0.178
579,Cody Bolton,HOU,1,1,4.73,17,3,,,,28,127,28,16,15,4,15,,2,26,0.205
580,Logan VanWey,HOU,1,1,4.5,20,0,,,,23,101,21,12,11,3,12,,2,23,0.228
581,Trent Thornton,CHC,1,2,4.47,23,0,,,,27,112,26,14,13,4,8,,1,21,0.188
582,Roddery Muñoz,HOU,2,3,4.93,18,5,,,,43,191,40,26,24,8,22,,2,47,0.246
583,Cam Sanders,PIT,1,2,4.78,23,1,,,,29,131,27,17,15,3,18,,3,29,0.221
584,Alek Jacob,SDP,1,2,4.78,25,0,,,,30,129,27,17,16,4,13,,3,28,0.217
585,Corbin Martin,CHC,1,2,5.12,20,2,,,,29,131,28,18,17,4,16,,1,27,0.206
586,Cionel Pérez,NYM,2,2,4.51,29,0,,,,30,134,28,16,15,2,17,,2,25,0.187
587,Domingo Gonzalez,SEA,1,2,4.32,22,1,,,,31,134,29,16,15,3,14,,3,28,0.209
588,Nick Davila,SEA,1,2,4.78,17,2,,,,32,139,34,18,17,4,12,,1,21,0.151
589,Nick Sandlin,DET,2,2,4.74,28,0,,,,26,114,23,15,14,4,12,,3,26,0.228
590,Josh Ekness,MIA,1,2,4.54,25,0,,,,29,126,26,16,14,3,14,,4,28,0.222
591,Justin Bruihl,STL,1,2,4.49,35,0,,,,36,156,34,19,18,3,15,,5,30,0.192
592,Luis Curvelo,TEX,1,2,5.22,25,0,,,,29,128,28,19,17,5,12,,2,26,0.203
593,Burch Smith,DET,1,1,4.86,18,0,,,,21,93,22,12,11,3,9,,0,20,0.215
594,Chris Roycroft,STL,2,2,4.62,27,0,,,,34,151,34,19,17,3,17,,2,27,0.179
595,Connor Brogdon,CLE,2,3,4.64,30,0,,,,34,149,34,19,18,6,13,,1,36,0.242
596,Eli Morgan,KCR,1,1,4.74,24,0,,,,28,123,29,16,15,4,10,,1,24,0.195
597,Steven Cruz,KCR,1,2,5.13,31,1,,,,31,138,29,19,18,5,16,,2,32,0.232
598,Josh Fleming,TOR,2,3,4.81,19,2,,,,38,168,44,22,20,5,12,,2,18,0.107
599,Ryan Zeferjahn,LAA,2,3,4.72,32,0,,,,36,159,30,21,19,5,21,,5,41,0.258
600,Yunior Marte,CIN,1,1,5.53,20,0,,,,20,88,21,13,12,3,9,,1,18,0.205
601,Andre Granillo,WSN,1,2,4.98,24,0,,,,32,142,32,19,18,5,16,,1,29,0.204
602,Zach Maxwell,CIN,1,2,5.17,30,0,,,,30,136,29,19,17,5,17,,1,32,0.235
603,Brandan Bidois,PIT,1,2,4.84,22,0,,,,27,121,26,16,15,4,14,,1,27,0.223
604,Angel Chivilli,NYY,1,2,5.09,26,0,,,,34,148,33,21,19,6,13,,2,34,0.23
605,Eric Cerantola,KCR,1,2,5.01,18,2,,,,28,127,26,17,16,4,16,,3,29,0.228
606,Zach Agnos,COL,1,2,5.03,26,0,,,,36,155,37,22,20,6,13,,1,28,0.181
607,Tony Santillan,CIN,2,3,5.14,44,0,,,,41,178,38,25,23,7,19,,3,42,0.236
608,Gavin Collyer,TEX,2,3,5.23,27,2,,,,36,161,32,22,21,4,23,,6,36,0.224
609,Joel Peguero,SFG,1,2,4.37,27,0,,,,31,139,32,17,15,3,14,,2,23,0.165
610,Cole Henry,WSN,1,1,5.16,27,1,,,,27,122,24,17,16,4,16,,4,27,0.221
611,Aaron Bummer,CHC,1,2,4.84,28,0,,,,29,129,30,17,16,4,13,,3,30,0.233
612,Gavin Hollowell,CHC,1,1,5.09,18,0,,,,22,96,19,13,12,3,12,,2,22,0.229
613,Wyatt Mills,LAD,1,2,5.58,17,3,,,,23,106,23,16,14,4,13,,3,20,0.189
614,Rolddy Muñoz,ATL,1,1,4.81,19,1,,,,29,129,29,17,15,4,15,,2,25,0.194
615,Yovanny Cruz,NYY,1,1,5.06,16,0,,,,24,104,22,14,13,4,12,,3,23,0.221
616,Luis Mey,CIN,2,3,5.5,29,0,,,,30,136,28,20,18,4,20,,3,32,0.235
617,Josh Simpson,SEA,2,2,4.85,25,0,,,,28,121,25,16,15,4,14,,2,30,0.248
618,Ryan Rolison,CHC,2,2,4.86,25,1,,,,37,163,38,22,20,6,15,,0,29,0.178
619,William Kempner,MIA,2,3,5,22,0,,,,29,130,27,18,16,4,16,,4,28,0.215
620,Lucas Sims,CHW,1,3,5.97,27,0,,,,25,114,22,18,16,3,18,,4,24,0.211
631,Peter Lambert,HOU,4,4,4.53,21,9,0,0,,72,309,68,39,36,10,29,,3,64,0.207
632,Kade Morris,ATH,0,0,4.1,19,6,0,0,,37,163,34,18,17,5,15,,2,36,