#,Name,Team,W,L,ERA,G,GS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
495,Hyun-il Choi,,5,8,5.4,24,17,95,420,105,62,57,16,27,0,11,60
496,Luke Fox,LAD,3,4,5.77,18,17,78,352,78,54,50,14,41,0,4,67
497,Trace Bright,BAL,4,6,5.31,22,17,81.1,371,83,52,48,12,45,0,5,66
498,Enmanuel Pinales,SDP,5,7,5.32,20,17,88,396,94,56,52,15,38,0,3,65
499,Bryce Conley,NYM,4,6,5.58,20,17,92,405,97,62,57,17,35,1,5,69
500,Triston McKenzie,SDP,4,6,5.2,22,17,81.1,362,77,51,47,15,45,0,2,80
501,Orlando Ortiz-Mayr,MIA,4,7,5.48,22,17,87,403,94,57,53,13,46,0,8,59
502,Reynaldo López,ATL,7,5,3.44,35,16,102,420,88,42,39,11,35,1,2,105
503,Roki Sasaki,LAD,5,4,4.11,23,16,89.2,385,80,44,41,13,32,1,6,104
504,Shohei Ohtani,LAD,5,3,3.59,16,16,80.1,326,59,35,32,11,31,1,6,97
505,Jon Gray,,5,5,4.46,18,16,84.2,360,82,45,42,11,26,1,3,74
506,Brian Van Belle,TBR,6,7,4.36,24,16,103.1,440,111,54,50,15,22,0,3,72
507,Clarke Schmidt,NYY,5,5,4.19,19,16,88,376,81,44,41,11,31,0,6,83
508,Cristian Mena,ARI,4,4,3.83,19,16,89.1,382,83,41,38,11,32,0,3,85
509,Joe Musgrove,SDP,5,5,3.87,16,16,90.2,384,86,42,39,11,24,0,9,81
510,Robert Gasser,MIL,4,5,4.14,19,16,78.1,334,72,39,36,10,25,0,7,75
511,Kumar Rocker,TEX,4,5,4.09,17,16,72.2,313,70,36,33,9,22,0,3,68
512,Darren McCaughan,CIN,4,7,5.24,25,16,104.2,456,111,66,61,17,30,0,8,82
513,Blake Money,BAL,5,7,4.59,24,16,104,447,105,57,53,15,33,0,2,87
514,Nathan Wiles,,6,5,4.3,24,16,96.1,412,102,50,46,13,23,0,3,73
515,Michael Soroka,ARI,6,6,4.02,24,16,91.2,391,80,44,41,11,36,0,9,90
516,Cooper Criswell,SEA,5,4,4.21,25,16,92,397,90,46,43,11,29,0,8,78
517,Jhancarlos Lara,ATL,4,5,4.25,32,16,76.1,344,65,39,36,8,43,0,9,88
518,Yorman Gómez,CLE,6,7,4.42,25,16,108,475,109,57,53,15,43,0,4,88
519,Alek Manoah,LAA,4,5,4.77,16,16,83,361,79,48,44,11,35,0,8,71
520,Daniel Espino,CLE,4,5,4.3,16,16,67,296,61,35,32,10,35,0,1,75
521,Luis Perales,WSN,3,3,4.53,16,16,53.2,240,49,29,27,6,27,0,5,55
522,Jake Eder,LAD,4,7,4.92,21,16,82.1,367,85,49,45,11,34,0,6,65
523,Thomas Hatch,ARI,6,6,4.25,25,16,103.2,460,112,53,49,13,35,1,6,72
524,Ken Waldichuk,WSN,3,6,4.89,20,16,77.1,344,74,45,42,10,37,0,6,73
525,Ben Lively,CLE,5,6,4.57,17,16,84.2,364,86,46,43,13,30,0,3,62
526,David Buchanan,,4,7,5.01,19,16,97,430,111,58,54,14,30,0,3,56
527,Blake Adams,COL,4,7,5.21,24,16,86.1,379,99,54,50,15,25,0,2,59
528,Billy Corcoran,ARI,5,6,4.46,16,16,80.2,355,88,43,40,11,24,0,3,53
529,Jose Fleury,HOU,3,3,4.54,22,16,77.1,335,76,42,39,12,30,0,2,66
530,James Gonzalez,ATH,4,5,4.9,20,16,86.1,383,90,51,47,13,35,0,4,67
531,River Ryan,LAD,2,3,4.77,17,16,62.1,275,60,36,33,9,28,0,4,55
532,Max Alba,DET,2,4,5.04,25,16,84,366,92,51,47,13,24,0,2,55
533,Carlos Peña,DET,6,7,4.94,24,16,94.2,416,102,56,52,14,32,0,5,65
534,Rodney Boone,CLE,4,5,4.44,17,16,71,309,73,38,35,11,24,0,3,55
535,Bryce Jarvis,ARI,4,5,4.55,29,16,93,410,91,51,47,12,42,1,6,74
536,Trey Dombroski,HOU,7,8,4.69,24,16,101.2,446,105,57,53,17,39,0,3,83
537,Dalton Rogers,BOS,4,6,4.86,21,16,87,395,87,51,47,12,50,0,2,76
538,Blake Walston,ARI,4,5,4.59,18,16,84.1,376,86,46,43,10,38,0,5,60
539,Albert Suárez,BAL,4,6,5.04,23,16,89.1,400,100,54,50,15,33,1,2,72
540,Robert Dugger,,3,5,5.29,19,16,80,357,84,51,47,12,36,0,2,57
541,John Gant,,3,5,5.16,16,16,68,308,75,42,39,10,29,0,2,46
542,Ryan Ramsey,KCR,5,9,5.13,22,16,93,419,95,57,53,13,42,0,9,71
543,Drake Fellows,PHI,5,7,5.1,28,16,91.2,409,97,56,52,14,38,0,4,62
544,Edgar Barclay,NYY,4,6,5.4,20,16,86.2,387,89,56,52,14,38,0,5,65
545,Andrew Quezada,,3,6,5.54,22,16,81.1,375,100,54,50,12,32,0,4,41
546,Shane Panzini,KCR,4,5,5.21,22,16,86.1,391,90,54,50,13,42,0,4,68
547,Isaac Coffey,BOS,4,5,5.09,19,16,74.1,333,73,45,42,11,32,0,12,61
548,Estibenzon Jimenez,PHI,5,7,5.61,23,16,96.1,429,107,65,60,17,32,0,7,67
549,Nick Nastrini,,4,5,5.83,23,16,78.2,363,77,55,51,14,50,0,6,69
550,Jared Kollar,,5,9,5.6,25,16,98,437,112,66,61,18,35,0,2,56
551,Manuel Mercedes,SFG,5,10,5.59,26,16,85.1,399,98,57,53,11,41,0,8,42
552,Ben Brown,CHC,6,6,4,24,15,99,419,88,48,44,12,34,0,4,107
553,Justin Wrobleski,LAD,6,6,4.42,31,15,110,468,105,58,54,15,35,0,4,103
554,Luis Garcia,NYY,5,5,3.89,16,15,74,303,66,35,32,11,21,0,1,74
555,Foster Griffin,WSN,4,5,4.31,18,15,87.2,372,86,45,42,12,25,1,4,82
556,Drew Rom,MIL,4,4,4.21,16,15,72.2,312,66,37,34,9,27,0,5,70
557,Kyle Wright,CHC,5,5,4.22,15,15,79,338,73,40,37,9,29,0,6,67
558,Tyler Wells,BAL,4,5,4.44,19,15,77,313,71,41,38,13,20,0,2,66
559,Paul Blackburn,NYY,4,6,4.9,21,15,82.2,362,85,49,45,12,30,0,3,65
560,Jonathan Pintaro,NYM,4,3,4.15,26,15,73.2,328,70,37,34,8,31,0,7,70
561,Lance McCullers Jr.,HOU,4,4,4.37,17,15,68,301,62,36,33,8,35,0,5,66
562,Seth Shuman,WSN,4,4,4.71,26,15,86,372,94,49,45,12,19,0,6,58
563,Matt Sauer,,5,5,5.03,25,15,93,410,97,56,52,14,31,0,8,75
564,Sauryn Lao,,3,3,4.46,33,15,72.2,316,75,39,36,10,21,1,4,61
565,Zach Thornton,NYM,4,5,4.71,16,15,70.2,308,72,40,37,9,22,0,5,54
566,Drew Thorpe,CHW,4,6,4.81,15,15,76.2,329,79,44,41,12,27,0,0,58
567,Kyle Tyler,,4,6,4.94,24,15,93,418,103,55,51,12,36,0,4,63
568,Hunter Dobbins,STL,4,4,4.57,16,15,78.2,342,82,43,40,10,25,0,4,54
569,Michael Plassmeyer,TOR,5,7,4.62,24,15,89.2,389,91,50,46,14,26,0,9,73
570,Austin Bergner,TEX,5,7,4.85,24,15,81.2,359,80,48,44,11,37,0,1,68
571,John Klein,MIN,6,8,4.68,26,15,94.1,415,95,53,49,13,34,0,10,79
572,Adam Macko,TOR,5,5,4.66,20,15,75.1,335,72,42,39,10,33,0,7,67
573,Chayce McDermott,LAD,5,5,4.69,25,15,78.2,347,74,44,41,11,39,0,4,78
574,Nick Dean,CHC,4,4,4.52,16,15,65.2,284,66,36,33,10,21,0,1,53
575,Robinson Piña,,5,6,4.5,21,15,82,359,84,44,41,12,27,0,6,63
576,Luinder Avila,KCR,4,5,4.54,25,15,81.1,358,78,44,41,10,36,0,6,69
577,Anthony Molina,ATL,4,5,4.85,28,15,100.1,439,111,58,54,14,30,0,2,68
578,Moisés Chace,PHI,3,4,4.86,22,15,66.2,298,62,39,36,9,36,0,4,65
579,Connor McCullough,CHW,3,5,5.15,15,15,57.2,247,61,36,33,10,15,0,3,43
580,Trent Baker,MIN,4,6,4.81,27,15,88,388,94,51,47,13,32,0,4,66
581,Trenton Wallace,TOR,2,3,4.5,24,15,70,309,65,38,35,10,34,0,5,66
582,Ricky Tiedemann,TOR,2,2,4.6,15,15,43,193,37,24,22,5,24,0,6,43
583,Luis Palacios,MIA,5,8,4.8,27,15,95.2,419,107,55,51,14,28,0,4,55
584,Yilber Díaz,ARI,5,4,4.19,30,15,83.2,371,79,42,39,11,42,0,4,80
585,Ky Bush,CHW,3,6,5.08,15,15,72.2,327,79,44,41,11,33,0,2,50
586,Jackson Nezuh,HOU,5,7,4.86,20,15,79.2,351,81,46,43,13,32,0,3,64
587,Owen White,,3,5,5.22,22,15,81,368,87,51,47,11,36,0,6,57
588,Kyle Brnovich,PHI,3,5,5.3,19,15,71.1,321,72,45,42,11,33,0,6,61
589,Chris Flexen,,5,6,4.89,26,15,95.2,419,99,56,52,15,37,1,2,70
590,Adam Plutko,,4,7,5.33,16,15,76,335,89,49,45,13,23,0,2,44
591,Evan Fitterer,SDP,5,8,4.91,26,15,91.2,413,92,54,50,12,44,0,8,69
592,Will Schomberg,MIA,4,6,4.99,22,15,83,373,79,50,46,12,41,0,12,75
593,Braydon Tucker,PHI,3,6,5.53,21,15,84.2,380,97,56,52,14,28,0,6,50
594,Zach Plesac,,4,6,5.26,16,15,75.1,336,85,48,44,12,29,0,1,46
595,Nic Swanson,HOU,3,5,5.06,19,15,69.1,314,72,42,39,11,34,0,3,53
596,Wikelman González,CHW,2,5,5.4,17,15,66.2,307,65,43,40,11,41,0,5,64
597,Devereaux Harrison,TOR,5,7,5.22,28,15,89.2,405,93,56,52,15,45,0,3,69
598,Shane Rademacher,SFG,4,7,5.31,24,15,96.2,426,113,62,57,17,27,0,1,50
599,Louis Varland,TOR,7,5,3.64,48,14,108.2,452,100,48,44,14,30,1,4,104
600,Jack Perkins,ATH,5,4,3.94,21,14,82.1,349,69,39,36,9,35,0,6,87
601,Sawyer Gipson-Long,DET,3,4,4.34,19,14,74.2,316,74,39,36,10,19,0,4,63
602,Cody Bradford,TEX,5,5,4.5,18,14,76,316,74,41,38,11,17,0,2,61
603,Caleb Boushley,,3,5,4.66,28,14,90.2,396,99,51,47,12,27,0,2,65
604,Brady Basso,ATH,4,3,4.26,24,14,74,316,74,38,35,10,24,0,2,61
605,Braxton Bragg,BAL,4,4,4.48,16,14,68.1,294,68,37,34,10,20,0,3,61
606,Christian Scott,NYM,3,3,4.52,14,14,63.2,270,61,35,32,9,19,0,4,57
607,Jesse Scholtens,TBR,3,3,4.54,21,14,75.1,326,77,41,38,11,25,1,2,63
608,Luis Medina,ATH,4,4,4.86,16,14,66.2,298,64,39,36,7,32,1,6,55
609,Tony Gonsolin,LAD,4,5,4.9,14,14,71.2,297,63,42,39,12,26,1,4,64
610,Osvaldo Bido,,4,6,5.1,26,14,91.2,404,87,56,52,14,40,1,9,81
611,José Urquidy,PIT,4,5,4.39,17,14,71.2,306,75,38,35,10,20,0,3,51
612,Bryce Mayer,HOU,4,5,4.66,19,14,77.1,332,75,43,40,12,24,0,7,66
613,Eduardo Rivera,BOS,4,5,4.66,20,14,77.1,343,73,43,40,10,40,0,4,71
614,Tyler Schweitzer,CHW,4,7,4.93,24,14,96.2,425,104,57,53,15,36,0,2,69
615,Valente Bellozo,COL,3,5,5.16,29,14,96,421,108,59,55,17,31,0,3,65
616,Alex Pham,BAL,3,4,4.63,20,14,70,302,69,39,36,11,28,0,1,63
617,Mitch Myers,ATH,4,5,4.79,22,14,82.2,361,92,48,44,13,21,0,4,52
618,Brandon Waddell,NYM,5,5,4.67,24,14,86.2,379,89,49,45,12,29,0,8,68
619,Bowden Francis,TOR,5,6,4.69,21,14,76.2,326,72,43,40,14,26,0,6,67
620,Andry Lara,WSN,5,8,4.93,27,14,84,381,93,50,46,10,34,0,2,56
621,Kai-Wei Teng,HOU,5,6,4.8,28,14,86.1,384,78,50,46,11,41,0,12,82
622,Ty Blach,CHC,3,4,5.21,21,14,76,334,87,48,44,12,18,0,4,47
623,Alonzo Tredwell,HOU,3,4,4.77,22,14,79.1,356,76,45,42,11,38,0,7,72
624,Antonio Santos,,5,5,4.78,20,14,69.2,310,67,40,37,9,33,0,5,58
625,Mitch Neunborn,PHI,4,7,5.4,27,14,76.2,342,83,50,46,12,31,0,3,56
626,Gunnar Hoglund,ATH,4,5,5,15,14,72,312,77,43,40,13,21,0,4,51
627,Blake Burkhalter,ATL,4,5,4.93,26,14,84,370,88,50,46,13,31,0,4,63
628,Justin Jarvis,,4,6,5.63,19,14,76.2,344,82,52,48,13,35,0,2,56
629,Dominic Perachi,PIT,3,4,4.89,18,14,70,317,76,41,38,10,30,0,6,47
630,Christian Romero,LAD,4,5,5.52,23,14,89.2,401,96,59,55,14,32,0,11,57
631,Zach Fruit,BAL,2,4,5.29,16,14,63,287,66,40,37,9,33,0,3,46
632,Manuel Urias,,4,6,5.1,22,14,88.1,392,97,54,50,15,32,0,3,59
633,Joseph Montalvo,DET,3,4,5.29,16,14,61.1,273,66,39,36,11,24,0,3,43
634,Bryce Osmond,LAA,3,5,5.71,15,14,52,237,55,36,33,10,25,0,5,42
635,Erian Rodriguez,CHC,4,7,5.45,18,14,71,326,75,46,43,11,33,0,8,49
636,Darren Bowen,MIN,3,6,5.84,22,14,69.1,317,78,49,45,11,30,0,6,40
637,Ethan Bosacker,KCR,4,7,5.7,23,14,90,401,101,62,57,15,32,0,5,46
638,Thomas Farr,CIN,3,6,6.3,22,14,75.2,346,88,57,53,15,29,0,9,40
639,Carmen Mlodzinski,PIT,7,7,3.57,39,13,103.1,439,98,44,41,10,34,0,4,90
640,Ryan Johnson,LAA,5,5,4.15,28,13,73.2,321,73,37,34,9,24,1,1,69
641,Brant Hurter,DET,5,5,3.89,37,13,90.1,383,85,42,39,10,25,1,8,80
642,Jedixson Paez,BOS,4,4,4.4,20,13,77.2,331,80,41,38,11,18,0,3,62
643,José Suarez,ATH,4,5,4.26,22,13,82.1,356,80,42,39,10,29,1,3,78
644,Gordon Graceffo,STL,5,6,4.25,35,13,97.1,416,96,50,46,11,31,0,3,78
645,J.P. France,HOU,5,4,4.12,19,13,78.2,342,76,39,36,10,32,0,2,72
646,Carson Spiers,CIN,4,6,5.22,22,13,91.1,406,95,57,53,14,35,0,7,73
647,Daniel Lynch IV,KCR,4,5,4.33,40,13,97.2,422,98,51,47,13,34,1,4,78
648,Roansy Contreras,,3,6,4.99,31,13,92,401,98,55,51,14,33,1,3,65
649,JT Brubaker,SFG,2,3,4.37,22,13,70,309,71,37,34,8,27,0,4,58
650,Pedro Avila,CLE,5,6,4.16,24,13,80,350,77,40,37,9,34,1,4,65
651,Ben Shields,COL,2,4,4.7,16,13,61.1,273,63,35,32,9,22,0,6,56
652,David Sandlin,CHW,5,7,4.85,27,13,87.1,383,93,51,47,14,30,0,2,72
653,Caleb Kilian,SFG,3,4,4.54,18,13,71.1,315,75,39,36,8,25,1,4,54
654,Kyle Hurt,LAD,4,4,4.74,24,13,68.1,301,61,39,36,10,36,0,4,76
655,Jack O'Loughlin,,3,4,4.63,26,13,72,323,77,40,37,9,30,0,5,54
656,Ian Anderson,,4,6,4.62,17,13,66.1,296,68,37,34,8,31,0,1,51
657,Michael Kopech,,6,5,4.43,38,13,83.1,357,69,44,41,13,44,1,5,90
658,Garrett Stallings,MIL,4,5,4.74,26,13,89.1,384,95,51,47,14,24,0,2,64
659,Ricky Castro,MIN,3,4,4.74,24,13,81.2,357,87,46,43,12,27,0,2,61
660,Trevor Williams,WSN,3,5,4.93,15,13,65.2,291,74,39,36,10,21,0,2,51
661,Zack Thompson,STL,4,5,4.58,24,13,72.2,325,69,40,37,9,37,0,4,71
662,Cory Abbott,,3,4,4.9,22,13,71.2,314,68,42,39,11,32,0,3,68
663,Robert Stock,NYM,3,5,4.76,18,13,70,315,69,40,37,10,31,0,9,65
664,Josh Trentadue,TEX,2,3,5.03,21,13,68,302,64,41,38,9,31,0,6,61
665,Adam Laskey,COL,4,5,4.96,27,13,70.2,320,81,42,39,10,26,0,4,49
666,Vince Velasquez,CHC,4,3,4.5,16,13,64,279,60,35,32,10,28,0,2,63
667,Spencer Turnbull,,3,5,5.04,17,13,64.1,291,68,39,36,8,27,0,6,46
668,Cole Wilcox,SEA,5,5,4.45,30,13,85,371,84,45,42,10,33,0,5,67
669,Derek Diamond,PIT,4,6,4.74,18,13,70.1,311,81,40,37,10,20,0,2,41
670,T.J. Sikkema,BOS,4,6,4.94,21,13,71,315,75,42,39,9,25,0,8,48
671,Jared Lyons,CIN,3,6,5.45,19,13,67.2,301,72,44,41,11,28,0,2,52
672,Evan McKendry,MIA,5,7,4.96,22,13,85.1,368,92,51,47,13,21,1,7,53
673,Jairo Iriarte,CHW,3,6,5.16,29,13,76.2,350,75,48,44,10,42,0,9,67
674,Wade Miley,,2,5,5.65,13,13,57.1,250,62,39,36,9,21,0,3,33
675,Braeden Fausnaught,PHI,4,5,5.27,17,13,71.2,320,79,45,42,12,27,0,3,51
676,Aaron Brown,,4,7,5.11,20,13,82.2,368,93,51,47,13,28,0,3,51
677,Cory Lewis,MIN,4,6,5.06,22,13,74.2,340,75,45,42,11,44,0,1,66
678,Xzavion Curry,NYM,4,6,5.19,26,13,78,345,86,49,45,13,31,1,2,52
679,Dylan Cumming,CHW,4,7,5.45,26,13,76,345,83,50,46,12,29,0,10,55
680,Karl Kauffmann,,3,7,5.38,31,13,95.1,440,113,62,57,14,43,0,4,56
681,Austin Krob,,3,3,4.95,23,13,76.1,349,80,45,42,10,38,0,6,56
682,Jared Karros,LAD,2,4,5.82,13,13,55.2,247,63,39,36,11,19,0,1,35
683,Devin Smeltzer,,4,5,5.25,21,13,73.2,325,80,46,43,12,27,0,4,45
684,Connor Gillispie,PHI,3,5,5.81,20,13,79,351,84,55,51,15,32,0,6,57
685,Drew Parrish,,4,6,5.84,26,13,81.2,365,90,57,53,15,33,0,3,54
686,Ryan Watson,TOR,4,6,5.52,15,13,75,330,86,50,46,15,22,0,2,43
687,Ryan Garcia,,3,6,5.67,21,13,68.1,310,68,46,43,11,38,1,4,56
688,Carter Spivey,CLE,2,3,5.05,18,13,66,300,72,40,37,10,30,0,4,41
689,Casey Anderson,ARI,6,8,4.96,24,13,81.2,377,86,49,45,10,39,0,11,58
690,William Fleming,MIN,3,5,5.16,24,13,76.2,343,86,48,44,12,26,0,5,46
691,Juan Mercedes,,3,6,5.16,18,13,75,334,83,46,43,13,27,0,3,49
692,Michael Dominguez,,2,4,5.31,20,13,62.2,285,62,40,37,11,36,0,4,53
693,Michael Mariot,,4,5,5.19,21,13,76.1,339,86,48,44,13,25,0,6,47
694,Ryan Long,BAL,3,5,5.67,23,13,81,359,91,55,51,15,29,0,4,48
695,Justin Hagenman,NYM,3,4,4.38,30,12,84.1,357,86,44,41,12,20,0,3,73
696,Joey Wentz,ATL,5,5,4.54,33,12,89.1,395,89,49,45,11,37,1,2,88
697,Mike Vasil,CHW,5,5,4.23,37,12,106.1,464,103,54,50,12,44,2,7,86
698,Jake Woodford,MIL,4,6,4.6,30,12,92,402,95,51,47,11,30,1,6,67
699,Nick Margevicius,,3,4,4.2,17,12,64.1,279,71,32,30,7,14,0,3,42
700,Tucker Davidson,PHI,4,6,4.91,21,12,77,342,81,45,42,10,29,0,3,62
701,Chase Silseth,LAA,3,4,4.3,27,12,67,290,61,35,32,9,30,0,3,70
702,DL Hall,MIL,3,2,4.14,26,12,63,275,56,31,29,7,30,0,3,63
703,Easton Lucas,,4,4,4.74,27,12,74,326,72,42,39,10,31,1,3,66
704,Drey Jameson,ARI,6,4,3.95,20,12,73,318,71,35,32,8,29,0,3,63
705,Travis Adams,MIN,6,6,4.55,32,12,97,424,101,53,49,13,33,0,4,76
706,Tyler Phillips,MIA,4,5,4.3,37,12,98.1,427,101,51,47,12,35,0,3,72
707,Hayden Wesneski,HOU,4,5,4.42,25,12,77.1,328,72,41,38,12,27,0,3,71
708,Landon Harper,ATL,5,6,4.64,24,12,89.1,379,94,50,46,14,23,0,1,65
709,Felipe De La Cruz,NYM,4,5,4.66,27,12,75.1,337,75,42,39,10,34,0,4,70
710,Sean Sullivan,PIT,4,5,4.46,26,12,76.2,336,80,41,38,10,28,0,3,56
711,Connor Seabold,TOR,3,5,4.88,26,12,79.1,353,82,46,43,12,27,0,8,67
712,Jackson Rutledge,PHI,4,5,4.88,41,12,90.1,401,92,53,49,13,37,0,8,75
713,Zach Thompson,,4,4,4.82,20,12,65.1,290,71,38,35,9,25,0,3,45
714,Alex Cornwell,STL,4,5,4.74,28,12,87.1,387,95,50,46,11,31,0,3,56
715,Trevor Martin,TBR,4,5,4.93,29,12,76.2,336,80,45,42,13,26,0,4,63
716,Dallas Keuchel,,3,3,5.07,12,12,55,254,65,34,31,7,23,0,1,34
717,Bryse Wilson,PHI,4,5,4.91,35,12,95.1,412,100,56,52,15,30,0,4,67
718,Blane Abeyta,ATL,4,5,4.69,30,12,78.2,348,80,44,41,11,29,0,7,65
719,Randy Wynne,,2,5,5.57,18,12,66.1,292,79,44,41,12,16,0,3,34
720,Bailey Dees,,5,6,4.95,30,12,83.2,369,81,50,46,13,36,0,6,72
721,Troy Watson,DET,4,6,4.97,32,12,79.2,356,84,48,44,11,34,0,2,58
722,Joan Adon,,3,6,5.16,28,12,75,342,78,46,43,9,36,1,7,59
723,Luis Moreno,MIA,5,7,4.8,31,12,84.1,384,88,49,45,10,41,0,6,63
724,Elieser Hernández,ATL,4,5,4.9,18,12,64.1,277,67,38,35,12,21,0,2,54
725,Matt Manning,,3,3,5.22,25,12,70.2,313,71,44,41,11,35,0,2,58
726,Zach Messinger,NYY,4,5,5.36,27,12,85.2,380,87,55,51,14,37,1,5,67
727,Dustin Saenz,TEX,4,7,5.19,30,12,78,350,92,49,45,11,24,0,4,39
728,Aaron Brooks,TBR,4,5,5.31,19,12,78,351,92,50,46,13,27,0,3,45
729,Ryan Murphy,STL,2,3,5.09,15,12,51.1,231,54,31,29,7,22,0,4,34
730,Michael Cuevas,HOU,4,6,5.38,28,12,72,334,80,46,43,9,35,0,7,44
731,Joey Mancini,HOU,4,5,5.17,24,12,102.2,462,112,64,59,16,39,0,9,62
732,Erik Tolman,WSN,2,3,5.62,29,12,75.1,346,78,51,47,11,42,0,6,59
733,Baron Stuart,WSN,3,5,5.5,25,12,70.1,322,74,46,43,11,37,0,5,46
734,Jacob Meador,,3,4,5.95,24,12,59,277,63,42,39,10,32,0,7,42
735,Pierson Ohl,COL,5,6,4.33,30,11,95.2,407,106,50,46,14,17,0,2,74
736,Mason Montgomery,PIT,4,3,3.83,45,11,82.1,353,74,38,35,9,33,0,4,89
737,Brandon Walter,HOU,3,3,3.93,16,11,71,299,70,34,31,9,16,0,5,56
738,Connor Thomas,ATL,5,5,4.46,31,11,86.2,379,94,46,43,10,25,0,4,59
739,Jordan Hicks,CHW,4,5,4.62,34,11,74,330,71,41,38,7,34,1,6,69
740,Kolby Allard,CLE,3,3,4.1,31,11,85.2,369,88,42,39,12,27,2,2,67
741,Keaton Winn,SFG,4,3,4.14,22,11,63,271,62,31,29,7,20,0,4,55
742,Dylan Dodd,ATL,5,4,4.11,34,11,85.1,361,87,42,39,12,22,0,2,72
743,Jhony Brito,SDP,5,5,4.31,22,11,71,306,71,37,34,9,24,0,2,55
744,Andrew Hoffmann,ARI,6,5,4.04,34,11,78,340,76,38,35,9,30,0,3,70
745,Domingo Robles,ATH,4,5,4.72,20,11,74.1,324,78,42,39,10,25,0,4,52
746,Brandon Leibrandt,CIN,2,2,4.96,14,11,56.1,245,61,34,31,9,17,0,2,42
747,Freddy Tarnok,,3,3,4.41,29,11,67.1,294,63,36,33,9,32,0,3,63
748,Connor Phillips,CIN,4,6,4.96,37,11,78,346,70,46,43,11,42,0,6,83
749,José De León,,4,4,4.85,20,11,68.2,308,69,40,37,10,30,0,7,62
