#,Name,Team,W,L,ERA,G,GS,IP,TBF,H,R,ER,HR,BB,HBP,SO,,,,
408,Alek Manoah,LAA,2,3,5,10,8,46,203,45,28,26,6,21,4,39,,,,
409,Anthony Molina,ATL,2,3,4.95,15,8,53,232,59,31,29,7,16,1,36,,,,
410,Ryan Fernandez,STL,2,2,4.03,31,0,35,150,31,17,16,4,15,1,40,,,,
411,Erik Miller,SFG,2,2,3.61,35,2,32,142,27,14,13,2,20,1,36,,,,
412,Keegan Thompson,COL,1,3,5,16,3,33,146,33,20,18,5,15,3,30,,,,
413,Brock Burke,CIN,2,3,4.45,42,1,41,179,40,22,20,5,17,1,39,,,,
414,Joey Gerber,NYM,1,1,4.26,18,4,24,101,23,12,11,3,8,1,23,,,,
415,Andrew Kittredge,BAL,2,2,3.73,32,1,31,129,30,14,13,4,8,1,30,,,,
416,Carl Edwards Jr.,DET,1,1,4.46,14,4,31,135,29,17,15,4,14,1,30,,,,
417,Andrew Hoffmann,ARI,3,3,4.37,21,6,46,201,46,24,22,6,19,2,42,,,,
418,Juan Mejia,COL,2,3,4.47,38,0,43,187,39,23,21,5,21,5,46,,,,
419,Albert Suárez,BAL,2,4,5.27,15,8,53,239,61,34,31,9,21,1,41,,,,
420,John Klein,MIN,3,5,4.86,14,8,50,217,51,29,27,7,18,5,42,,,,
421,Jason Adam,SDP,3,2,3.45,35,0,33,138,27,14,13,3,12,3,31,,,,
422,Sam Aldegheri,LAA,3,6,5.48,13,12,66,297,70,44,40,10,30,5,50,,,,
423,Brock Stewart,LAD,1,0,4.01,20,0,18,78,16,9,8,2,8,1,21,,,,
424,Taylor Rashi,ARI,2,2,3.99,24,1,37,162,36,18,16,4,16,1,37,,,,
425,José Fermin,LAA,3,3,4.46,33,1,34,149,30,19,17,4,17,2,36,,,,
426,Vince Velasquez,CHC,2,2,4.53,9,7,34,148,32,19,17,5,15,1,33,,,,
427,Yuki Matsui,SDP,1,1,4.05,32,0,34,147,29,17,15,4,17,1,36,,,,
428,Alex Lange,KCR,2,2,4.04,31,1,30,131,25,15,13,2,17,2,32,,,,
429,Pierce Johnson,CIN,2,2,4.62,38,0,34,147,34,19,17,5,13,1,36,,,,
430,Tyler Schweitzer,CHW,2,4,5.02,14,7,53,234,57,32,29,8,20,1,37,,,,
431,Osvaldo Bido,,1,5,6.1,18,7,53,242,60,39,36,8,25,6,47,,,,
432,Calvin Faucher,MIA,3,3,3.97,37,1,35,158,33,17,16,3,19,1,36,,,,
433,Kirby Yates,LAA,2,2,3.97,29,0,26,110,21,12,11,3,13,2,32,,,,
434,Jackson Rutledge,PHI,2,3,4.96,22,6,47,209,49,28,26,7,20,4,39,,,,
435,Caleb Ferguson,CIN,2,2,4.74,33,1,30,129,29,17,16,3,12,3,28,,,,
436,Richard Lovelady,WSN,1,2,4.73,31,2,32,143,34,18,17,3,13,3,30,,,,
437,Lake Bachar,MIA,2,2,4.11,31,1,42,182,38,21,19,6,18,2,46,,,,
438,Justin Slaten,BOS,2,2,4.2,24,1,26,111,24,13,12,3,10,1,26,,,,
439,Jake Eder,LAD,3,3,4.92,13,8,45,196,44,27,24,7,19,3,35,,,,
440,Anthony Nunez,BAL,3,3,4.12,36,0,37,156,32,18,17,5,14,3,41,,,,
441,Emilio Pagán,CIN,2,2,4.44,36,0,35,148,31,19,17,6,12,1,35,,,,
442,Michael Petersen,MIA,1,1,4.09,29,1,32,139,31,16,15,4,13,2,31,,,,
443,Jordan Romano,COL,2,2,4.45,28,0,25,107,23,13,12,4,10,2,28,,,,
444,Jason Alexander,HOU,2,4,4.88,14,11,63,280,69,37,34,10,23,3,48,,,,
445,Tim Hill,NYY,3,2,4.08,39,0,35,150,38,17,16,3,9,1,19,,,,
446,Bennett Sousa,HOU,1,1,3.9,24,0,25,106,21,12,11,3,11,1,28,,,,
447,Jose Franco,CIN,2,4,5.67,17,11,52,236,54,36,33,9,27,3,46,,,,
448,Brent Suter,LAA,1,2,4.38,30,2,41,178,43,22,20,5,14,1,33,,,,
449,Codi Heuer,CLE,1,1,3.75,22,0,25,108,24,11,10,3,10,2,26,,,,
450,Andrew Nardi,MIA,2,2,4.02,32,0,30,129,26,15,13,4,13,1,37,,,,
451,Miles Mikolas,WSN,3,7,5.41,17,15,85,371,98,55,51,16,22,2,56,,,,
452,Carlos Carrasco,ATL,2,4,5.45,14,12,60,269,72,39,36,10,19,4,45,,,,
453,Anthony Banda,MIN,1,2,4.34,39,2,38,165,36,20,18,4,17,4,35,,,,
454,Gregory Santos,SFG,1,1,3.82,22,0,24,106,24,11,10,1,11,2,20,,,,
455,Nick Mears,KCR,2,3,4.53,37,0,34,147,32,18,17,3,15,1,30,,,,
456,Sam Moll,CIN,2,2,4.62,36,0,31,135,27,17,16,3,15,3,32,,,,
457,Blake Treinen,LAD,2,2,4.31,27,1,23,99,22,12,11,3,9,1,24,,,,
458,Germán Márquez,SDP,4,7,5.48,14,14,74,324,79,49,45,13,27,3,57,,,,
459,Cole Wilcox,SEA,2,3,4.55,20,7,49,216,49,27,25,6,22,3,40,,,,
460,Austin Warren,NYM,3,3,4.38,23,2,33,144,31,18,16,4,13,2,32,,,,
461,Shaun Anderson,LAA,2,4,5.46,16,9,60,267,70,40,36,11,19,2,42,,,,
462,Ryne Stanek,STL,2,2,4.26,39,0,34,153,30,18,16,3,20,1,37,,,,
463,Luke Little,CHC,1,1,4.18,24,1,30,130,23,15,14,3,17,3,33,,,,
464,Jacob Webb,CHC,2,2,4.03,37,0,40,167,34,19,18,5,15,2,40,,,,
465,Jose Espada,BAL,2,2,4.65,20,1,28,123,26,16,14,4,14,1,28,,,,
466,Kody Funderburk,MIN,2,3,4.23,32,1,39,173,38,20,18,4,19,3,36,,,,
467,Cole Winn,TEX,2,3,4.69,28,3,47,207,43,27,25,5,23,3,42,,,,
468,Franco Aleman,CLE,2,2,4.47,18,1,22,95,20,12,11,3,10,2,23,,,,
469,Ty Blach,CHC,1,2,5.06,11,7,41,176,46,25,23,6,9,2,26,,,,
470,Yerry De los Santos,NYY,1,1,4.22,24,0,30,128,28,15,14,3,12,1,24,,,,
471,Zak Kent,WSN,1,2,4.86,20,3,32,140,32,19,17,4,14,2,29,,,,
472,Jameson Taillon,CHC,4,6,5.1,17,17,91,389,94,56,51,19,25,2,73,,,,
473,Carter Baumler,TEX,1,1,4.91,17,1,23,100,21,14,12,3,12,1,21,,,,
474,Hoby Milner,CHC,2,1,4.19,40,0,38,160,38,19,18,4,11,2,29,,,,
475,Paul Sewald,ARI,2,2,4.09,30,1,27,113,24,13,12,4,9,1,28,,,,
476,Luis García,,1,1,4.9,33,1,31,138,35,18,17,3,12,2,23,,,,
477,Seranthony Domínguez,CHW,3,4,4.4,41,0,37,162,32,20,18,6,19,2,43,,,,
478,Garrett Acton,MIN,2,2,4.52,24,2,30,130,28,16,15,4,14,1,30,,,,
479,Tyler Samaniego,BOS,2,2,4.11,24,1,26,114,25,13,12,3,11,2,22,,,,
480,Ron Marinaccio,SDP,2,2,4.38,33,0,42,177,36,22,20,5,17,3,40,,,,
481,Matt Gage,SFG,2,2,4.17,36,1,35,151,35,17,16,4,13,1,29,,,,
482,Greg Weissert,BOS,3,3,4.27,43,0,41,174,39,21,19,5,15,2,38,,,,
483,Juan Morillo,ARI,2,1,3.87,37,0,33,145,31,15,14,3,17,2,33,,,,
484,Ryan Zeferjahn,LAA,3,3,4.4,33,1,38,164,31,20,18,4,21,5,43,,,,
485,Riley Martin,CHC,2,2,4.38,24,1,33,144,29,17,16,4,17,2,35,,,,
486,Joey Lucchesi,LAA,2,2,4.84,20,4,41,182,44,24,22,6,17,1,31,,,,
487,Erick Fedde,CHW,3,7,5.61,18,14,84,378,95,57,52,15,34,2,61,,,,
488,Trevor Richards,CHW,0,1,5.42,26,1,32,143,33,21,19,5,14,1,33,,,,
489,Welinton Herrera,COL,2,3,4.4,27,0,32,141,32,17,16,4,13,3,32,,,,
490,Victor Mederos,ATL,3,4,5.12,12,10,55,242,57,34,31,8,23,6,40,,,,
491,Tim Mayza,PHI,1,1,4.2,31,1,28,122,29,14,13,4,9,1,27,,,,
492,Eric Lauer,LAD,4,6,5.56,18,12,70,312,78,47,43,15,25,2,61,,,,
493,Kyle Backhus,PHI,2,2,4.43,30,0,30,128,28,16,15,4,11,2,30,,,,
494,Taylor Clarke,ARI,2,1,4.11,33,2,37,156,38,18,17,5,10,2,26,,,,
495,Yaramil Hiraldo,BAL,0,1,4.68,24,1,31,132,29,17,16,5,11,0,32,,,,
496,Chase Shugart,PHI,2,3,4.62,27,2,38,164,38,21,19,5,14,3,32,,,,
497,John Schreiber,KCR,2,2,4.44,41,0,37,159,35,20,18,4,14,2,32,,,,
498,Nolan Hoffman,PHI,1,2,5,23,1,31,134,31,18,17,4,13,3,29,,,,
499,John King,MIA,1,1,3.97,36,0,34,151,38,17,15,3,11,2,25,,,,
500,Tanner Andrews,TOR,1,2,4.53,13,0,21,93,21,12,11,3,9,1,18,,,,
501,Paul Gervase,LAD,2,2,4.66,24,1,32,139,28,18,16,5,16,2,35,,,,
502,Tyler Gilbert,CHW,1,2,5.34,21,3,31,137,32,20,18,5,13,1,28,,,,
503,Elvis Alvarado,ATH,2,2,4.19,33,0,36,158,33,18,17,5,17,2,37,,,,
504,Yariel Rodríguez,TOR,2,2,4.63,29,4,40,174,36,22,20,6,20,2,40,,,,
505,PJ Poulin,WSN,2,3,4.66,36,4,39,173,38,22,20,5,19,2,37,,,,
506,Jonathan Hernández,LAD,1,1,4.5,22,1,26,113,24,14,13,3,13,1,24,,,,
507,Jordan Leasure,CHW,2,4,4.99,38,1,36,155,32,22,20,7,16,1,41,,,,
508,Riley Cornelio,WSN,2,5,5.24,12,12,55,250,61,35,32,8,26,2,41,,,,
509,Hunter Bigge,TBR,1,1,4.32,24,0,27,118,25,14,13,3,15,1,26,,,,
510,Peyton Pallette,CLE,2,2,4.4,27,3,40,175,36,21,19,5,20,4,42,,,,
511,Christian Roa,CHC,3,3,4.55,21,4,38,170,35,21,19,5,21,4,37,,,,
512,Connor Phillips,CIN,2,4,5.29,29,6,51,233,47,33,30,7,33,4,55,,,,
513,Joel Payamps,ATL,2,2,4.07,33,0,30,129,29,15,14,4,10,1,29,,,,
514,Nate Pearson,HOU,1,1,4.58,24,1,28,125,27,16,14,4,13,2,28,,,,
515,Kyle Nicolas,CIN,1,3,5.24,30,3,42,189,39,26,24,6,25,3,42,,,,
516,Lou Trivino,PHI,1,2,4.81,24,1,24,108,25,14,13,3,11,2,22,,,,
517,Michael Kelly,ATH,1,2,4.51,22,0,23,101,23,13,12,2,10,1,20,,,,
518,Zack Kelly,BOS,2,2,4.43,31,1,36,159,33,19,18,4,18,3,34,,,,
519,Ryan Borucki,SFG,2,2,4.19,31,1,28,122,26,14,13,3,12,3,26,,,,
520,Matt Svanson,STL,2,2,4.18,35,1,49,211,46,25,23,6,19,4,46,,,,
521,Ken Waldichuk,WSN,2,3,5.38,12,8,43,191,43,28,26,7,21,3,41,,,,
522,José Buttó,SFG,2,2,4.03,31,1,37,158,33,18,17,4,16,2,33,,,,
523,Chase Lee,TOR,1,2,4.4,26,1,32,137,31,17,16,5,11,2,31,,,,
524,Brooks Kriske,ATH,1,1,4.72,20,0,24,105,22,14,13,4,12,1,26,,,,
525,Victor Vodnik,COL,2,3,4.49,35,0,37,165,36,20,18,4,20,1,33,,,,
526,Justin Topa,,1,2,4.87,33,1,32,144,35,19,18,4,12,2,25,,,,
527,Trevor Martin,TBR,2,3,5.14,17,7,44,195,48,28,25,8,15,3,36,,,,
528,Carlos Estévez,KCR,2,3,4.41,31,0,30,128,27,16,15,4,12,1,25,,,,
529,Ryan Thompson,ARI,3,2,3.81,35,0,30,130,30,14,13,3,9,1,24,,,,
530,Ethan Roberts,CHC,1,1,4.22,25,1,28,120,26,14,13,3,12,3,27,,,,
531,Brian Fitzpatrick,MIL,2,2,4.71,17,1,30,132,29,17,16,4,14,1,27,,,,
532,Ricky Vanasco,DET,1,2,5.01,15,3,25,111,24,15,14,4,14,1,24,,,,
533,Orlando Ribalta,WSN,1,1,4.55,23,0,23,104,23,13,12,3,12,1,21,,,,
534,Nick Raquet,BAL,3,4,4.91,19,1,30,133,33,18,17,5,11,2,26,,,,
535,Justin Lawrence,PIT,2,3,4.39,33,0,34,151,31,18,17,4,18,5,37,,,,
536,Alex Hoppe,SEA,1,2,4.29,24,0,35,152,33,18,16,4,16,1,33,,,,
537,Hunter Stratton,ATL,1,1,4.35,23,0,28,119,27,14,13,4,10,2,26,,,,
538,Drew Pomeranz,LAA,1,2,4.86,35,2,31,134,30,18,17,5,11,3,30,,,,
539,Matt Pushard,STL,2,2,4.12,26,1,31,134,30,15,14,4,12,1,28,,,,
540,Kyle Finnegan,DET,2,2,4.45,37,1,37,162,36,20,18,4,17,0,31,,,,
541,Joe Ross,TEX,1,1,4.48,18,3,31,139,33,17,15,4,13,2,23,,,,
542,Chris Devenski,PIT,1,1,4.45,22,1,24,103,25,13,12,4,7,1,19,,,,
543,Jalen Beeks,TEX,2,3,4.71,37,2,40,174,39,23,21,6,16,2,36,,,,
544,Brendon Little,TOR,2,2,4.22,36,0,34,152,30,17,16,4,19,2,39,,,,
545,Philip Abner,ARI,1,1,4.09,28,0,29,126,28,14,13,4,12,2,27,,,,
546,Matt Festa,CLE,2,3,4.55,36,0,37,155,34,20,18,5,13,3,37,,,,
547,Alimber Santa,HOU,1,1,4.25,22,1,32,144,30,17,15,4,17,2,31,,,,
548,Kervin Castro,NYY,1,2,4.61,19,0,23,101,21,13,12,3,11,1,21,,,,
549,Jonathan Heasley,TBR,1,3,5.44,13,6,41,181,46,27,25,7,14,2,29,,,,
550,Brandyn Garcia,ARI,3,3,4.47,25,4,39,173,38,21,20,4,18,7,34,,,,
551,Aaron Brooks,TBR,2,4,5.59,11,7,42,192,51,29,26,7,15,2,24,,,,
552,David Morgan,SDP,2,2,4.3,30,1,36,157,32,19,17,4,16,3,38,,,,
553,Grant Anderson,MIL,3,2,4.29,39,0,42,181,39,22,20,6,17,2,43,,,,
554,Seth Halvorsen,COL,1,2,4.82,25,0,25,114,25,15,14,3,14,1,24,,,,
555,Seth Johnson,PHI,2,3,5.02,22,5,38,172,39,23,21,6,19,1,34,,,,
556,Blas Castaño,COL,1,5,6.42,15,11,54,255,72,42,39,8,22,7,36,,,,
557,Wandy Peralta,SDP,2,2,4.13,40,1,40,174,37,20,18,4,18,3,33,,,,
558,Valente Bellozo,COL,1,3,5.63,16,7,53,237,61,36,33,11,19,2,37,,,,
559,Tejay Antone,CIN,0,1,5.54,10,1,14,60,14,9,8,2,6,1,12,,,,
560,Kenley Jansen,DET,2,3,4.59,34,0,30,129,27,17,15,5,12,1,31,,,,
561,Cade Gibson,MIA,2,3,4.48,21,3,41,177,41,22,20,5,16,5,33,,,,
562,Tyler Ferguson,CHC,1,2,4.88,30,0,33,143,30,19,18,4,16,3,32,,,,
563,Tayler Saucedo,LAA,1,1,4.77,20,0,18,80,18,10,10,2,8,2,17,,,,
564,Phil Maton,CHC,2,2,4.1,38,0,36,153,30,18,17,4,15,5,38,,,,
565,Gavin Collyer,TEX,2,3,5.03,27,2,37,165,33,22,21,4,22,6,37,,,,
566,Tyler Davis,CHW,2,3,4.85,24,0,30,133,29,17,16,4,16,1,28,,,,
567,Brandan Bidois,PIT,1,2,4.54,22,0,28,122,26,15,14,4,14,1,27,,,,
568,Jayden Murray,HOU,1,1,4.61,25,2,39,171,38,22,20,5,17,4,31,,,,
569,Nick Sandlin,DET,2,2,4.74,30,1,28,120,25,16,15,4,13,3,28,,,,
570,Cam Sanders,PIT,1,2,4.82,23,2,30,137,28,18,16,4,19,3,30,,,,
571,Josh Walker,BAL,1,1,4.66,20,0,23,104,24,13,12,4,11,1,22,,,,
572,Craig Kimbrel,TBR,2,3,4.57,33,0,31,134,27,17,16,4,16,2,34,,,,
573,Connor Brogdon,CLE,2,3,4.64,32,1,36,155,35,20,18,6,14,2,37,,,,
574,Nick Davila,SEA,2,2,4.78,18,3,33,145,35,19,18,4,12,1,22,,,,
575,Alec Gamboa,BOS,2,3,5.01,11,3,28,130,31,17,16,3,15,1,18,,,,
576,Zach Pop,PHI,1,2,4.93,24,0,24,105,25,14,13,3,8,1,19,,,,
577,Cionel Pérez,NYM,2,2,4.88,30,0,30,136,30,18,16,2,17,2,24,,,,
578,Steven Cruz,KCR,1,2,4.98,32,1,32,139,29,19,18,5,15,2,33,,,,
579,Yohan Ramírez,PIT,2,3,4.36,33,0,41,179,37,22,20,4,19,9,45,,,,
580,Cody Bolton,HOU,1,1,4.73,18,3,30,134,29,17,16,4,16,2,27,,,,
581,George Soriano,STL,2,2,4.71,34,1,45,196,43,26,24,6,18,4,42,,,,
582,Taijuan Walker,LAA,3,6,5.55,17,12,69,306,76,46,42,13,26,3,48,,,,
583,Roddery Muñoz,HOU,2,3,4.93,19,5,46,201,42,27,25,9,23,2,50,,,,
584,Alek Jacob,SDP,1,2,4.78,26,0,31,134,29,18,16,4,13,4,29,,,,
585,Domingo Gonzalez,SEA,1,2,4.32,23,1,32,140,30,17,15,4,15,3,29,,,,
586,Corbin Martin,CHC,1,2,5.12,21,2,31,138,30,19,17,4,17,1,29,,,,
587,Justin Bruihl,STL,1,2,4.53,36,0,37,160,35,20,18,3,16,5,31,,,,
588,Trent Thornton,CHC,2,2,4.52,23,0,27,113,26,15,13,4,8,1,21,,,,
589,Burch Smith,DET,1,1,4.86,19,0,22,98,23,13,12,3,9,1,21,,,,
590,Josh Ekness,MIA,1,2,4.54,26,0,30,131,28,16,15,3,15,5,29,,,,
591,Luis Curvelo,TEX,1,2,5.22,26,0,31,134,30,20,18,5,12,2,28,,,,
592,Chris Roycroft,STL,2,2,4.62,28,0,35,157,36,20,18,4,18,2,28,,,,
593,Eric Cerantola,KCR,1,2,4.91,19,2,29,130,27,17,16,4,17,3,30,,,,
594,Zach Agnos,COL,1,2,4.94,27,0,36,158,37,22,20,5,13,1,28,,,,
595,Josh Fleming,TOR,2,3,4.81,20,2,40,177,47,23,21,5,12,2,19,,,,
596,Andre Granillo,WSN,1,2,4.98,25,0,33,148,33,20,18,5,16,1,31,,,,
597,Logan VanWey,HOU,1,1,4.58,21,0,24,105,22,13,12,3,13,2,24,,,,
598,Aaron Bummer,CHC,1,2,4.84,30,1,31,137,31,18,17,4,14,3,32,,,,
599,Angel Chivilli,NYY,1,2,5.09,27,0,36,154,34,22,20,6,14,2,35,,,,
600,Eli Morgan,KCR,1,2,4.87,24,0,28,124,29,17,15,5,11,1,24,,,,
601,Ryan Rolison,CHC,2,2,4.8,26,2,38,168,39,22,20,6,15,1,31,,,,
602,Rolddy Muñoz,ATL,1,1,4.81,20,2,30,136,31,18,16,4,16,2,27,,,,
603,Tony Santillan,CIN,2,3,5.16,45,0,42,182,39,26,24,7,20,3,44,,,,
604,Cole Henry,WSN,1,2,5.22,27,1,28,124,25,18,16,4,16,4,28,,,,
605,Gavin Hollowell,CHC,1,2,5.09,19,0,23,101,21,14,13,3,13,2,23,,,,
606,Josh Simpson,SEA,2,2,4.85,26,1,29,126,26,17,15,4,15,2,32,,,,
607,Zach Maxwell,CIN,1,2,5.24,30,0,31,138,29,19,18,5,18,1,33,,,,
608,Joel Peguero,SFG,1,2,4.41,27,0,32,141,33,17,16,3,14,2,23,,,,
609,Wyatt Mills,LAD,1,2,5.58,18,3,24,110,24,16,15,4,14,4,21,,,,
610,Yovanny Cruz,NYY,1,2,5.06,16,0,25,109,23,15,14,4,13,4,24,,,,
611,Luis Mey,CIN,2,3,5.5,30,0,31,141,29,20,19,4,21,3,33,,,,
612,William Kempner,MIA,2,3,5.13,23,1,29,132,28,18,17,4,17,4,28,,,,
613,Lucas Sims,CHW,1,3,5.97,28,0,26,120,23,19,17,4,19,4,26,,,,
614,David Sandlin,CHW,2,4,4.92,14,7,45,199,49,27,25,7,15,1,38,,,,
615,Kade Morris,ATH,0,0,4.1,19,6,0,0,,37,163,34,18,17,5,15,,2,36